Title,Hour Rate
Exec Adm Asst II,28.53
Exec Adm Asst II,24.98
Exec Adm Asst II,24.60
Exec Adm Asst II,23.97
Exec Adm Asst II,23.25
Exec Adm Asst II,21.03
Exec Adm Asst II,20.83
Ext Prog Asst,21.87
Ext Prog Asst,20.99
Ext Prog Asst,20.86
Ext Prog Asst,20.71
Ext Prog Asst,20.09
Ext Prog Asst,19.99
Ext Prog Asst,19.28
Ext Prog Asst,19.20
Ext Prog Asst,19.12
Ext Prog Asst,19.12
Ext Prog Asst,19.09
Ext Prog Asst,18.79
Ext Prog Asst,18.63
Ext Prog Asst,18.63
Ext Prog Asst,18.63
Ext Prog Asst,18.63
Ext Prog Asst,18.63
Ext Prog Asst,18.50
Ext Prog Asst,18.48
Ext Prog Asst,18.20
Ext Prog Asst,17.87
Ext Prog Asst,17.85
Ext Prog Asst,17.59
Ext Prog Asst,17.53
Ext Prog Asst,17.46
Ext Prog Asst,17.37
Ext Prog Asst,17.37
Ext Prog Asst,17.11
Ext Prog Asst,17.11
Ext Prog Asst,17.11
Food Serv Aide I,16.37
Food Serv Aide I,16.20
Food Serv Aide I,15.05
Food Serv Aide I,14.43
Food Serv Aide I,14.10
Food Serv Aide I,13.59
Food Serv Aide I,13.59
Food Serv Aide I,13.56
Food Serv Aide I,13.09
Food Serv Aide I,13.09
Food Serv Aide I,12.98
Food Serv Aide I,12.83
Food Serv Aide I,12.83
Food Serv Aide I,12.83
Food Serv Aide I,12.83
Food Serv Aide I,12.83
Food Serv Aide I,12.83
Food Serv Aide I,12.64
Food Serv Aide I,12.64
Food Serv Aide I,12.64
Food Serv Aide I,12.64
Food Serv Aide I,12.64
Food Serv Aide II,15.32
Food Serv Aide II,14.51
Food Serv Aide II,13.77
Food Serv Aide II,13.65
Food Serv Aide II,13.49
Food Serv Aide II,13.43
Food Serv Aide II,13.43
Food Serv Aide II,13.23
Food Serv Aide II,13.23
Food Serv Aide II,13.23
Food Serv Aide II,13.23
Food Serv Aide II,13.23
Food Serv Aide II,13.23
Food Serv Spec,25.49
Food Serv Spec,21.78
Food Serv Spec,21.17
Food Serv Spec,20.67
Food Serv Spec,20.66
Food Serv Spec,20.66
Food Serv Spec,19.85
Food Serv Spec,19.48
Food Serv Spec,19.48
Food Serv Spec,19.48
Food Serv Sprv,19.58
Food Serv Sprv,19.37
Food Serv Sprv,17.93
Food Serv Sprv,17.32
Food Serv Sprv,17.29
Food Serv Sprv,17.17
Food Serv Sprv,17.11
Food Serv Sprv,17.11
Food Serv Sprv,16.72
Food Serv Sprv,16.71
Food Serv Sprv,16.71
Food Serv Sprv,16.49
Food Serv Sprv,16.18
Food Serv Sprv,16.18
Food Serv Sprv,16.18
Food Serv Sprv,16.13
Food Serv Sprv,16.13
Food Serv Sprv,16.13
Food Serv Sprv,16.13
Food Serv Sprv,15.94
Food Serv Sprv,15.79
Food Serv Sprv,15.79
Food Serv Sprv,15.79
Food Serv Sprv,15.79
Food Serv Sprv,15.79
Food Serv Sprv,15.79
Food Serv Sprv,15.79
Food Serv Sprv,15.79
Food Serv Sprv,15.79
Food Serv Sprv,15.79
Food Serv Sprv,15.79
Food Serv Sprv,15.79
Food Serv Sprv,15.79
Food Serv Sprv,15.55
Food Serv Sprv,15.55
Food Serv Sprv,15.55
Food Serv Sprv,15.55
Food Serv Sprv,15.55
Food Serv Sprv,15.55
Food Serv Sprv,15.55
Food Serv Sprv,15.55
Food Serv Sprv,15.55
Grounds Supv,22.79
Grounds Supv,20.30
Grounds Supv,20.10
Grounds Supv,17.88
Grounds Supv,17.66
Grounds Supv,16.41
Grounds Supv,16.41
Grounds Supv,16.25
Groundskeeper,13.76
Groundskeeper,12.84
Groundskeeper Ld,17.69
Groundskeeper Ld,15.71
Groundskeeper Ld,15.20
Groundskeeper Ld,13.95
Groundskeeper Ld,13.95
Groundskeeper Ld,13.95
Groundskeeper Ld,13.95
Groundskeeper Ld,13.95
Groundskeeper Ld,13.94
Groundskeeper Ld,13.94
Groundskeeper Ld,13.91
Groundskeeper Ld,13.76
Groundskeeper Ld,13.76
Groundskeeper Ld,13.61
Groundskeeper Ld,13.56
Groundskeeper Ld,13.56
Groundskeeper Ld,13.56
Groundskeeper Ld,13.56
Groundskeeper Ld,13.56
Groundskeeper Ld,13.56
Groundskeeper Ld,13.10
HVAC Chief,42.45
HVAC Chief,40.97
HVAC Chief,40.31
HVAC Chief,39.83
HVAC Chief,39.23
HVAC Chief,39.20
HVAC Chief,39.19
HVAC Chief,38.65
HVAC Chief,38.24
HVAC Chief,37.87
HVAC Chief,37.12
HVAC Chief,37.04
HVAC Chief,36.39
HVAC Chief,36.35
HVAC Chief,34.84
HVAC Chief,34.25
HVAC Chief,34.14
HVAC Chief,34.05
HVAC Chief,34.00
HVAC Chief,33.97
HVAC Chief,33.58
HVAC Chief,33.41
HVAC Chief,33.19
HVAC Chief,32.41
HVAC Chief,32.40
HVAC Chief,32.38
HVAC Chief,32.31
HVAC Chief,32.29
HVAC Chief,31.94
HVAC Chief,31.33
HVAC Chief,31.08
HVAC Chief,30.73
HVAC Chief,30.73
HVAC Chief,30.50
HVAC Chief,30.41
HVAC Chief,30.14
HVAC Chief,29.76
HVAC Chief,29.12
HVAC Mech I,28.66
HVAC Mech I,27.00
HVAC Mech I,23.82
HVAC Mech I,23.46
HVAC Mech III,33.97
HVAC Mech III,33.88
HVAC Mech III,33.46
HVAC Mech III,33.17
HVAC Mech III,32.16
HVAC Mech III,31.86
HVAC Mech III,31.36
HVAC Mech III,30.85
HVAC Mech III,30.76
HVAC Mech III,30.13
HVAC Mech III,29.76
HVAC Mech III,29.13
HVAC Mech III,28.86
HVAC Mech III,28.69
HVAC Mech III,28.28
HVAC Mech III,27.92
HVAC Mech III,27.36
HVAC Mech III,27.24
HVAC Mech III,27.24
HVAC Mech III,27.24
HVAC Mech III,26.56
Housekeeper,16.44
Housekeeper,16.44
Housekeeper,16.44
Housekeeper,16.40
Housekeeper,16.40
Housekeeper,16.30
Housekeeper,16.30
Housekeeper,16.30
Housekeeper,16.22
Housekeeper,16.20
Housekeeper,16.20
Housekeeper,15.85
Housekeeper,15.55
Housekeeper,15.09
Housekeeper,14.75
Housekeeper,14.75
Housekeeper,14.75
Housekeeper,14.75
Housekeeper,14.75
Housekeeper,14.75
Housekeeper,14.75
Housekeeper,14.74
Housekeeper,14.74
Housekeeper,14.74
Housekeeper,14.58
Housekeeper,14.54
Housekeeper,14.54
Housekeeper,14.54
Housekeeper,14.54
Housekeeper,14.54
Housekeeper,14.54
Housekeeper,14.54
Housekeeper,14.54
Housekeeper,14.54
Housekeeper,14.22
Housekeeper,14.05
Housekeeper,14.03
Housekeeper,14.03
Housekeeper,14.03
Housekeeper,14.03
Housekeeper,14.03
Housekeeper,14.03
Housekeeper,14.03
Housekeeper,13.75
Housekeeper,13.75
Housekeeper,13.55
Housekeeper,13.51
Housekeeper,13.43
Housekeeper,13.43
Housekeeper,13.43
Housekeeper,13.43
Housekeeper,13.43
Housekeeper,13.43
Housekeeper,13.43
Housekeeper,13.43
Housekeeper,13.43
Housekeeper,13.42
Housekeeper,13.42
Housekeeper,13.42
Housekeeper,13.42
Housekeeper,13.42
Housekeeper,13.42
Housekeeper,13.42
Housekeeper,13.42
Housekeeper,13.42
Housekeeper,13.42
